"title","keyword"
"Economistas e culturas econômicas no Brasil e na Argentina: notas para uma comparação a propósito das heterodoxias","Argentina"
"Economistas e culturas econômicas no Brasil e na Argentina: notas para uma comparação a propósito das heterodoxias","Economistas"
"Economistas e culturas econômicas no Brasil e na Argentina: notas para uma comparação a propósito das heterodoxias","Culturas econômicas"
"Economistas e culturas econômicas no Brasil e na Argentina: notas para uma comparação a propósito das heterodoxias","Inflação"
"Economistas e culturas econômicas no Brasil e na Argentina: notas para uma comparação a propósito das heterodoxias","Brasil"
"Economistas e culturas econômicas no Brasil e na Argentina: notas para uma comparação a propósito das heterodoxias","Argentina"
"Política econômica do segundo governo FHC: mudança em condições adversas","Brasil"
"Política econômica do segundo governo FHC: mudança em condições adversas","Política econômica"
"Política econômica do segundo governo FHC: mudança em condições adversas","Governo Fernando Henrique Cardoso"
"O segundo governo FHC: coalizões, agendas e instituições","Governo FHC"
"O segundo governo FHC: coalizões, agendas e instituições","Coalizões"
"O segundo governo FHC: coalizões, agendas e instituições","Agenda governamental"
"O segundo governo FHC: coalizões, agendas e instituições","Reformas constitucionais"
"O segundo governo FHC: coalizões, agendas e instituições","Política econômica"
"O segundo governo FHC: coalizões, agendas e instituições","Reforma do Estado"
"O segundo governo FHC: coalizões, agendas e instituições","Políticas públicas"
"Crise e desregulação do trabalho no Brasil","crise econômica"
"Crise e desregulação do trabalho no Brasil","desregulação"
"Crise e desregulação do trabalho no Brasil","desestruturação"
"Crise e desregulação do trabalho no Brasil","desregulamentação"
"Crise e desregulação do trabalho no Brasil","mercado de trabalho"
"Crise e desregulação do trabalho no Brasil","Brasil"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","Estado"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","governo"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","crise política"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","transição política"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","hegemonia"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","política econômica"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","desenvolvimento"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","neoliberalismo"
"O Brasil sob Cardoso: neoliberalismo e desenvolvimentismo","Fernando Henrique Cardoso"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","macroeconomia"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","economia brasileira"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","estabilização"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","desenvolvimento"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","Estado"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","inflação"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","macroeconomia"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","economia brasileira"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","estabilização"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","desenvolvimento"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","Estado"
"Além da estabilização: do Plano Real à reconstrução da economia política brasileira","inflação"
"A classe média no mundo do neoliberalismo","classes médias"
"A classe média no mundo do neoliberalismo","neoliberalismo"
"A classe média no mundo do neoliberalismo","sociologia econômica"
"A classe média no mundo do neoliberalismo","convenções cognitivas"
"A classe média no mundo do neoliberalismo","convenções econômicas"
"A classe média no mundo do neoliberalismo","classes médias"
"A classe média no mundo do neoliberalismo","neoliberalismo"
"A classe média no mundo do neoliberalismo","sociologia econômica"
"A classe média no mundo do neoliberalismo","convenções cognitivas"
"A classe média no mundo do neoliberalismo","convenções econômicas"
"Questão urbana e envelhecimento populacional: breves conexões entre o direito à cidade e o idoso no mercado de trabalho","questão urbana"
"Questão urbana e envelhecimento populacional: breves conexões entre o direito à cidade e o idoso no mercado de trabalho","desenvolvimento econômico"
"Questão urbana e envelhecimento populacional: breves conexões entre o direito à cidade e o idoso no mercado de trabalho","envelhecimento populacional"
"Questão urbana e envelhecimento populacional: breves conexões entre o direito à cidade e o idoso no mercado de trabalho","mercado de trabalho"
"Questão urbana e envelhecimento populacional: breves conexões entre o direito à cidade e o idoso no mercado de trabalho","previdência social"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Adolescentes"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Consumo de álcool"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Saúde escolar"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Epidemiologia"
"Risco de dependência do álcool: prevalência, problemas relacionados e fatores socioeconômico","Fatores socioeconômicos"
"Determinantes da implementação da política pública de um volume essencial de água gratuita em Bogotá e Medellín, Colômbia","Água"
"Determinantes da implementação da política pública de um volume essencial de água gratuita em Bogotá e Medellín, Colômbia","Esgotamento sanitário"
"Determinantes da implementação da política pública de um volume essencial de água gratuita em Bogotá e Medellín, Colômbia","Acessibilidade econômica"
"Determinantes da implementação da política pública de um volume essencial de água gratuita em Bogotá e Medellín, Colômbia","Direito humano"
"Determinantes da implementação da política pública de um volume essencial de água gratuita em Bogotá e Medellín, Colômbia","Mínimo essencial"
"Associação entre consumo alimentar, atividade física, fatores socioeconômicos e percentual de gordura corporal em escolares","Consumo de alimentos"
"Associação entre consumo alimentar, atividade física, fatores socioeconômicos e percentual de gordura corporal em escolares","Escolares"
"Associação entre consumo alimentar, atividade física, fatores socioeconômicos e percentual de gordura corporal em escolares","Composição corporal"
"Associação entre consumo alimentar, atividade física, fatores socioeconômicos e percentual de gordura corporal em escolares","Atividade física"
"Associação entre consumo alimentar, atividade física, fatores socioeconômicos e percentual de gordura corporal em escolares","Fatores socioeconômicos"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Diabetes Mellitus Tipo 1"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Estilo de vida"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Atividade física"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Aspectos psicológicos"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Condições socioeconômicas"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Diabetes Mellitus Tipo 1"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Estilo de vida"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Atividade física"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Aspectos psicológicos"
"Estilo de vida em pacientes portadores de diabetes mellitus tipo 1: uma revisão sistemática","Condições socioeconômicas"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Assistência pré-natal"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Qualidade da assistência"
"Inadequação do conteúdo da assistência pré-natal e fatores associados em uma coorte no nordeste brasileiro","Fatores socioeconômicos"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Qualidade de vida"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Idoso"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Saúde do idoso"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Nível de saúde"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Fatores socioeconômicos"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Qualidade de vida"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Idoso"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Saúde do idoso"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Nível de saúde"
"Fatores associados à qualidade de vida de idosos comunitários da macrorregião do Triângulo do Sul, Minas Gerais, Brasil","Fatores socioeconômicos"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Idoso"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Instituição de longa permanência para idosos"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Fatores socioeconômicos"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Idoso"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Instituição de longa permanência para idosos"
"Desigualdade no perfil dos idosos institucionalizados na cidade de Natal, Brasil","Fatores socioeconômicos"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Descentralização"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Medicamentos de alto custo"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Medicamentos especializados"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","De senvolvimentismo"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Complexo econômico e industrial da saúde"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Descentralização"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Medicamentos de alto custo"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Medicamentos especializados"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","De senvolvimentismo"
"Federalismo, complexo econômico-industrial da saúde e assistência farmacêutica de alto custo no Brasil","Complexo econômico e industrial da saúde"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Família"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Seguro Saúde"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Economia"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Economia da Saúde"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Desigualdades em Saúde"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Família"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Seguro Saúde"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Economia"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Economia da Saúde"
"Gastos com planos de saúde das famílias brasileiras: estudo descritivo com dados das Pesquisas de Orçamentos Familiares 2002-2003 e 2008-2009","Desigualdades em Saúde"
"Mobilidade social e tabagismo: uma revisão sistemática","Mobilidade social"
"Mobilidade social e tabagismo: uma revisão sistemática","Estudo longitudinal"
"Mobilidade social e tabagismo: uma revisão sistemática","Posição socioeconômica"
"Mobilidade social e tabagismo: uma revisão sistemática","Tabagismo"
"Mobilidade social e tabagismo: uma revisão sistemática","Revisão sistemática"
"Mobilidade social e tabagismo: uma revisão sistemática","Mobilidade social"
"Mobilidade social e tabagismo: uma revisão sistemática","Estudo longitudinal"
"Mobilidade social e tabagismo: uma revisão sistemática","Posição socioeconômica"
"Mobilidade social e tabagismo: uma revisão sistemática","Tabagismo"
"Mobilidade social e tabagismo: uma revisão sistemática","Revisão sistemática"
"Fatores associados ao consumo de bebidas açucaradas entre pré-escolares brasileiros: inquérito nacional de 2006","Refrigerantes"
"Fatores associados ao consumo de bebidas açucaradas entre pré-escolares brasileiros: inquérito nacional de 2006","Sucos"
"Fatores associados ao consumo de bebidas açucaradas entre pré-escolares brasileiros: inquérito nacional de 2006","Bebidas Gasosas"
"Fatores associados ao consumo de bebidas açucaradas entre pré-escolares brasileiros: inquérito nacional de 2006","Fatores Socioeconômicos"
"Fatores associados ao consumo de bebidas açucaradas entre pré-escolares brasileiros: inquérito nacional de 2006","Obesidade"
"Fatores associados ao consumo de bebidas açucaradas entre pré-escolares brasileiros: inquérito nacional de 2006","Pré-Escolar"
"Fatores associados ao consumo de bebidas açucaradas entre pré-escolares brasileiros: inquérito nacional de 2006","Inquéritos Epidemiológicos"
"Uma análise da prevenção do câncer de mama no Brasil","Câncer de mama"
"Uma análise da prevenção do câncer de mama no Brasil","Prevenção"
"Uma análise da prevenção do câncer de mama no Brasil","Aspectos econômicos"
"Uma análise da prevenção do câncer de mama no Brasil","Logit ordenado"
"Estudos de custo-efetividade em saúde no Brasil: uma revisão sistemática","Avaliação econômica"
"Estudos de custo-efetividade em saúde no Brasil: uma revisão sistemática","Custo-efetividade"
"Estudos de custo-efetividade em saúde no Brasil: uma revisão sistemática","Revisão sistemática"
"Estudos de custo-efetividade em saúde no Brasil: uma revisão sistemática","Saúde"
"Estudos de custo-efetividade em saúde no Brasil: uma revisão sistemática","Brasil"
"Fatores sociodemográficos e imagem corporal em adolescentes do ensino médio","Imagem corporal"
"Fatores sociodemográficos e imagem corporal em adolescentes do ensino médio","Classe social"
"Fatores sociodemográficos e imagem corporal em adolescentes do ensino médio","Indicadores econômicos"
"Fatores sociodemográficos e imagem corporal em adolescentes do ensino médio","Indicadores demográficos"
"Relação entre condição gengival e fatores sociodemográficos de adolescentes residentes em uma região brasileira","Adolescente"
"Relação entre condição gengival e fatores sociodemográficos de adolescentes residentes em uma região brasileira","Epidemiologia"
"Relação entre condição gengival e fatores sociodemográficos de adolescentes residentes em uma região brasileira","Fatores socioeconômicos"
"Relação entre condição gengival e fatores sociodemográficos de adolescentes residentes em uma região brasileira","Índice periodontal"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Envelhecimento"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Saúde autorreferida"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Doenças crônicas"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Serviços de saúde"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Fatores socioeconômicos"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Envelhecimento"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Saúde autorreferida"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Doenças crônicas"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Serviços de saúde"
"Autoavaliação negativa de saúde em idosos de cidades com diferentes níveis de bem-estar econômico: dados do Estudo FIBRA","Fatores socioeconômicos"
"Custo das doenças atribuíveis a fatores ambientais na cidade de Manaus, Amazonas, Brasil","Morbidade"
"Custo das doenças atribuíveis a fatores ambientais na cidade de Manaus, Amazonas, Brasil","Custos de cuidados de saúde"
"Custo das doenças atribuíveis a fatores ambientais na cidade de Manaus, Amazonas, Brasil","Economia da saúde"
"Estudo ecológico sobre suicídio e homicídio no Brasil","Suicídio"
"Estudo ecológico sobre suicídio e homicídio no Brasil","Homicídio"
"Estudo ecológico sobre suicídio e homicídio no Brasil","Variáveis socioeconômicas"
"Estudo ecológico sobre suicídio e homicídio no Brasil","Estudo ecológico"
"Estudo ecológico sobre suicídio e homicídio no Brasil","Estados do Brasil"
"Fatores associados ao excesso de peso em adultos usuários de restaurantes populares em Belo Horizonte, Brasil","Estado nutricional"
"Fatores associados ao excesso de peso em adultos usuários de restaurantes populares em Belo Horizonte, Brasil","Sobrepeso"
"Fatores associados ao excesso de peso em adultos usuários de restaurantes populares em Belo Horizonte, Brasil","Obesidade"
"Fatores associados ao excesso de peso em adultos usuários de restaurantes populares em Belo Horizonte, Brasil","Fatores socioeconômicos"
"Fatores associados ao excesso de peso em adultos usuários de restaurantes populares em Belo Horizonte, Brasil","Serviços de alimentação"
"Há irracionalidades no consumo de inibidores de apetite no Brasil? Uma análise farmacoeconométrica de dados em painel","Análise de regressão"
"Há irracionalidades no consumo de inibidores de apetite no Brasil? Uma análise farmacoeconométrica de dados em painel","Depressores do apetite"
"Há irracionalidades no consumo de inibidores de apetite no Brasil? Uma análise farmacoeconométrica de dados em painel","Economia farmacêutica"
"Há irracionalidades no consumo de inibidores de apetite no Brasil? Uma análise farmacoeconométrica de dados em painel","Obesidade"
"Há irracionalidades no consumo de inibidores de apetite no Brasil? Uma análise farmacoeconométrica de dados em painel","Uso racional de medicamentos"
"Prevalência e fatores associados à Insegurança Alimentar e Nutricional em famílias dos municípios do norte de Alagoas, Brasil, 2010","Segurança alimentar"
"Prevalência e fatores associados à Insegurança Alimentar e Nutricional em famílias dos municípios do norte de Alagoas, Brasil, 2010","Escolaridade"
"Prevalência e fatores associados à Insegurança Alimentar e Nutricional em famílias dos municípios do norte de Alagoas, Brasil, 2010","Fatores socioeconômicos"
"Variáveis de impacto na queda da mortalidade infantil no Estado de São Paulo, Brasil, no período de 1998 a 2008","Mortalidade infantil"
"Variáveis de impacto na queda da mortalidade infantil no Estado de São Paulo, Brasil, no período de 1998 a 2008","Fatores socioeconômicos"
"Variáveis de impacto na queda da mortalidade infantil no Estado de São Paulo, Brasil, no período de 1998 a 2008","Estratégias Nacionais"
"Implicações do desenvolvimento econômico no trabalho, ambiente e saúde em comunidades portuárias no Ceará, Brasil","Saúde ambiental"
"Implicações do desenvolvimento econômico no trabalho, ambiente e saúde em comunidades portuárias no Ceará, Brasil","Saúde do trabalhador"
"Implicações do desenvolvimento econômico no trabalho, ambiente e saúde em comunidades portuárias no Ceará, Brasil","Desenvolvimento econômico"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Família"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Seguro saúde"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Economia"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Economia da saúde"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Desigualdades em saúde"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Família"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Seguro saúde"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Economia"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Economia da saúde"
"Gastos com saúde das famílias brasileiras residentes em regiões metropolitanas: composição e evolução no período 1995-2009","Desigualdades em saúde"
"Os Governos FHC e Lula e a política para a força de trabalho civil do Governo Central Brasileiro","Reforma do Estado"
"Os Governos FHC e Lula e a política para a força de trabalho civil do Governo Central Brasileiro","Ajuste macroeconômico"
"Os Governos FHC e Lula e a política para a força de trabalho civil do Governo Central Brasileiro","Emprego público"
"Os Governos FHC e Lula e a política para a força de trabalho civil do Governo Central Brasileiro","Burocracia pública"
"Os Governos FHC e Lula e a política para a força de trabalho civil do Governo Central Brasileiro","Lula"
"Os Governos FHC e Lula e a política para a força de trabalho civil do Governo Central Brasileiro","Sistema Único de Saúde"
"Suficiência de renda percebida por pessoas idosas no Município de São Paulo/Brasil","Envelhecimento"
"Suficiência de renda percebida por pessoas idosas no Município de São Paulo/Brasil","Fatores socioeconômicos"
"Suficiência de renda percebida por pessoas idosas no Município de São Paulo/Brasil","Renda"
"Suficiência de renda percebida por pessoas idosas no Município de São Paulo/Brasil","Suficiência financeira"
"Suficiência de renda percebida por pessoas idosas no Município de São Paulo/Brasil","Estudo SABE"
"Perfil das hospitalizações e fatores associados em idosos usuários do SUS","Hospitalização"
"Perfil das hospitalizações e fatores associados em idosos usuários do SUS","Idoso"
"Perfil das hospitalizações e fatores associados em idosos usuários do SUS","Sistema Único de Saúde"
"Perfil das hospitalizações e fatores associados em idosos usuários do SUS","Fatores socioeconômicos"
"Perfil das hospitalizações e fatores associados em idosos usuários do SUS","Perda de peso"
"Prevalência de anemia e sua associação com aspectos sociodemográficos e antropométricos em crianças de Vitória, Espírito Santo, Brasil","Anemia"
"Prevalência de anemia e sua associação com aspectos sociodemográficos e antropométricos em crianças de Vitória, Espírito Santo, Brasil","Saúde da criança"
"Prevalência de anemia e sua associação com aspectos sociodemográficos e antropométricos em crianças de Vitória, Espírito Santo, Brasil","Fatores socioeconômicos"
"Prevalência de anemia e sua associação com aspectos sociodemográficos e antropométricos em crianças de Vitória, Espírito Santo, Brasil","Bem-estar da criança"
"Prevalência de anemia e sua associação com aspectos sociodemográficos e antropométricos em crianças de Vitória, Espírito Santo, Brasil","Características da população"
"Prevalência e fatores associados ao consumo abusivo e à dependência de álcool","Consumo de bebidas alcoólicas"
"Prevalência e fatores associados ao consumo abusivo e à dependência de álcool","Alcoolismo"
"Prevalência e fatores associados ao consumo abusivo e à dependência de álcool","Fatores Socioeconômicos"
"Prevalência e fatores associados ao consumo abusivo e à dependência de álcool","Estudos transversais"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Avaliação em saúde"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Avaliação econômica em saúde"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Teoria econômica"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Avaliação normativa"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Pesquisa avaliativa"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Avaliação em saúde"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Avaliação econômica em saúde"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Teoria econômica"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Avaliação normativa"
"Avaliação em Saúde e Avaliação Econômica em Saúde: introdução ao debate sobre seus pontos de interseção","Pesquisa avaliativa"
"Despesa pública municipal com saúde em Pernambuco, Brasil, de 2000 a 2007","SUS"
"Despesa pública municipal com saúde em Pernambuco, Brasil, de 2000 a 2007","Economia da saúde"
"Despesa pública municipal com saúde em Pernambuco, Brasil, de 2000 a 2007","Financiamento em saúde"
"Despesa pública municipal com saúde em Pernambuco, Brasil, de 2000 a 2007","Siops"
"Perfil do idoso dependente de cuidado domiciliar em comunidades de baixo nível socioeconômico de Porto Alegre, Rio Grande do Sul","Idoso"
"Perfil do idoso dependente de cuidado domiciliar em comunidades de baixo nível socioeconômico de Porto Alegre, Rio Grande do Sul","Cuidadores"
"Perfil do idoso dependente de cuidado domiciliar em comunidades de baixo nível socioeconômico de Porto Alegre, Rio Grande do Sul","Assistência domiciliar"
"Perfil do idoso dependente de cuidado domiciliar em comunidades de baixo nível socioeconômico de Porto Alegre, Rio Grande do Sul","Fatores socioeconômicos"
"Perfil do idoso dependente de cuidado domiciliar em comunidades de baixo nível socioeconômico de Porto Alegre, Rio Grande do Sul","Envelhecimento"
"Saúde e economia verde: desafios para o desenvolvimento sustentável e erradicação da pobreza","complexo produtivo da saúde"
"Saúde e economia verde: desafios para o desenvolvimento sustentável e erradicação da pobreza","desenvolvimento sustentável"
"Saúde e economia verde: desafios para o desenvolvimento sustentável e erradicação da pobreza","capitalismo"
"Saúde e economia verde: desafios para o desenvolvimento sustentável e erradicação da pobreza","economia marrom"
"Saúde e economia verde: desafios para o desenvolvimento sustentável e erradicação da pobreza","Rio+20"
"Saúde e economia verde: desafios para o desenvolvimento sustentável e erradicação da pobreza","justiça socioambiental"
"Governança ambiental e economia verde","economia verde"
"Governança ambiental e economia verde","governança"
"Governança ambiental e economia verde","economia ecológica"
"Governança ambiental e economia verde","recursos naturais"
"Governança ambiental e economia verde","Rio+20"
"Governança ambiental e economia verde","economia verde"
"Governança ambiental e economia verde","governança"
"Governança ambiental e economia verde","economia ecológica"
"Governança ambiental e economia verde","recursos naturais"
"Governança ambiental e economia verde","Rio+20"
"Governança em saúde e ambiente para o desenvolvimento sustentável","Rio+20"
"Governança em saúde e ambiente para o desenvolvimento sustentável","saúde ambiental"
"Governança em saúde e ambiente para o desenvolvimento sustentável","saúde pública"
"Governança em saúde e ambiente para o desenvolvimento sustentável","economia verde"
"Vulnerabilidade social, individual e programática em idosos da comunidade: dados do estudo FIBRA, Campinas, SP, Brasil","Velhice"
"Vulnerabilidade social, individual e programática em idosos da comunidade: dados do estudo FIBRA, Campinas, SP, Brasil","Acesso a serviços de saúde"
"Vulnerabilidade social, individual e programática em idosos da comunidade: dados do estudo FIBRA, Campinas, SP, Brasil","Status socioeconômico"
"Vulnerabilidade social, individual e programática em idosos da comunidade: dados do estudo FIBRA, Campinas, SP, Brasil","Comorbidades"
"Vulnerabilidade social, individual e programática em idosos da comunidade: dados do estudo FIBRA, Campinas, SP, Brasil","Capacidade funcional"
"Estudo ecológico sobre o desenvolvimento da saúde no Brasil","Indicadores de saúde"
"Estudo ecológico sobre o desenvolvimento da saúde no Brasil","Estatísticas de saúde"
"Estudo ecológico sobre o desenvolvimento da saúde no Brasil","Desigualdades de saúde"
"Estudo ecológico sobre o desenvolvimento da saúde no Brasil","Gestão em saúde"
"Estudo ecológico sobre o desenvolvimento da saúde no Brasil","Fatores socioeconômicos"
"Estudo ecológico sobre o desenvolvimento da saúde no Brasil","Estudos ecológicos"
"Desigualdades na mortalidade por doenças cardiovasculares em pequenos municípios","Doenças cardiovasculares"
"Desigualdades na mortalidade por doenças cardiovasculares em pequenos municípios","Desigualdades em saúde"
"Desigualdades na mortalidade por doenças cardiovasculares em pequenos municípios","Avaliação em saúde"
"Desigualdades na mortalidade por doenças cardiovasculares em pequenos municípios","Políticas públicas de saúde"
"Desigualdades na mortalidade por doenças cardiovasculares em pequenos municípios","Fatores socioeconômicos"
"Condições socioeconômicas e câncer de cabeça e pescoço: uma revisão sistemática de literatura","Neoplasias de cabeça e pescoço"
"Condições socioeconômicas e câncer de cabeça e pescoço: uma revisão sistemática de literatura","Desigualdades em saúde"
"Condições socioeconômicas e câncer de cabeça e pescoço: uma revisão sistemática de literatura","Fatores socioeconômicos"
"Impactos socioeconômicos de uma doença emergente","Angiostrongilíase abdominal"
"Impactos socioeconômicos de uma doença emergente","Impactos socioeconômicos"
"Impactos socioeconômicos de uma doença emergente","Lesmas"
"Impactos socioeconômicos de uma doença emergente","Percepção de risco"
"Impactos socioeconômicos de uma doença emergente","Santa Catarina"
